iter	Passed	Remaining
0	21	21875
1	41	20524
2	59	19827
3	79	19717
4	97	19463
5	115	19192
6	133	18914
7	150	18698
8	171	18831
9	190	18875
10	219	19719
11	240	19771
12	256	19469
13	272	19175
14	289	18994
15	306	18819
16	323	18703
17	341	18616
18	357	18466
19	375	18392
20	392	18293
21	408	18159
22	424	18036
23	441	17935
24	456	17808
25	473	17730
26	490	17658
27	507	17620
28	523	17539
29	540	17485
30	557	17425
31	574	17369
32	591	17331
33	609	17308
34	624	17219
35	642	17211
36	658	17142
37	676	17127
38	692	17074
39	709	17025
40	726	16985
41	742	16935
42	758	16875
43	775	16858
44	791	16806
45	807	16750
46	823	16696
47	839	16655
48	856	16620
49	873	16605
50	889	16554
51	905	16517
52	921	16473
53	937	16426
54	955	16418
55	973	16405
56	990	16379
57	1005	16338
58	1022	16307
59	1038	16266
60	1056	16256
61	1075	16272
62	1097	16315
63	1114	16296
64	1132	16292
65	1150	16283
66	1167	16256
67	1189	16301
68	1207	16297
69	1227	16306
70	1258	16468
71	1274	16427
72	1290	16382
73	1307	16364
74	1324	16335
75	1340	16301
76	1356	16259
77	1373	16240
78	1391	16220
79	1407	16189
80	1425	16176
81	1443	16160
82	1461	16147
83	1478	16120
84	1496	16106
85	1511	16067
86	1526	16020
87	1542	15990
88	1557	15943
89	1571	15891
90	1587	15854
91	1601	15810
92	1620	15807
93	1639	15805
94	1657	15789
95	1674	15770
96	1689	15730
97	1706	15705
98	1723	15687
99	1737	15640
100	1751	15588
101	1765	15541
102	1779	15501
103	1794	15457
104	1809	15426
105	1825	15400
106	1843	15382
107	1856	15332
108	1870	15288
109	1884	15246
110	1898	15206
111	1912	15164
112	1926	15122
113	1940	15085
114	1954	15042
115	1968	15001
116	1982	14962
117	1996	14921
118	2010	14886
119	2023	14841
120	2038	14810
121	2053	14778
122	2066	14737
123	2080	14701
124	2094	14663
125	2109	14629
126	2123	14594
127	2137	14560
128	2152	14531
129	2166	14497
130	2177	14447
131	2192	14417
132	2207	14390
133	2222	14366
134	2236	14331
135	2251	14301
136	2265	14273
137	2280	14246
138	2296	14224
139	2311	14201
140	2326	14175
141	2341	14147
142	2355	14115
143	2370	14088
144	2383	14057
145	2398	14026
146	2411	13993
147	2425	13961
148	2439	13930
149	2451	13893
150	2465	13860
151	2478	13825
152	2490	13789
153	2504	13756
154	2517	13722
155	2530	13688
156	2543	13659
157	2557	13628
158	2570	13596
159	2583	13563
160	2597	13533
161	2610	13504
162	2623	13472
163	2636	13440
164	2650	13412
165	2664	13388
166	2678	13359
167	2691	13331
168	2705	13304
169	2719	13276
170	2732	13249
171	2745	13219
172	2759	13190
173	2772	13162
174	2786	13137
175	2799	13106
176	2813	13080
177	2826	13054
178	2840	13028
179	2854	13004
180	2867	12976
181	2881	12949
182	2894	12921
183	2907	12895
184	2921	12869
185	2934	12842
186	2947	12815
187	2961	12789
188	2974	12763
189	2987	12738
190	3001	12712
191	3015	12689
192	3029	12666
193	3042	12641
194	3056	12617
195	3070	12594
196	3084	12572
197	3097	12547
198	3111	12523
199	3125	12502
200	3139	12478
201	3152	12454
202	3166	12433
203	3181	12412
204	3194	12389
205	3207	12363
206	3220	12339
207	3234	12315
208	3247	12291
209	3261	12268
210	3274	12244
211	3287	12220
212	3301	12197
213	3314	12173
214	3328	12151
215	3341	12126
216	3354	12102
217	3367	12078
218	3380	12053
219	3393	12030
220	3406	12008
221	3419	11985
222	3433	11962
223	3446	11938
224	3459	11917
225	3473	11895
226	3487	11874
227	3500	11851
228	3514	11831
229	3527	11810
230	3540	11787
231	3553	11764
232	3567	11743
233	3580	11721
234	3594	11700
235	3607	11678
236	3620	11656
237	3634	11635
238	3647	11614
239	3661	11593
240	3674	11573
241	3688	11553
242	3702	11533
243	3715	11512
244	3728	11491
245	3742	11470
246	3755	11449
247	3769	11428
248	3782	11407
249	3795	11387
250	3809	11366
251	3822	11346
252	3835	11325
253	3848	11303
254	3862	11283
255	3875	11263
256	3889	11243
257	3902	11224
258	3916	11204
259	3929	11185
260	3943	11165
261	3956	11144
262	3970	11125
263	3983	11106
264	3998	11090
265	4012	11070
266	4025	11050
267	4038	11029
268	4051	11010
269	4065	10990
270	4078	10971
271	4092	10952
272	4106	10935
273	4121	10921
274	4136	10904
275	4149	10884
276	4163	10866
277	4177	10848
278	4190	10829
279	4204	10811
280	4217	10792
281	4231	10773
282	4245	10755
283	4258	10735
284	4270	10714
285	4284	10696
286	4297	10677
287	4311	10658
288	4324	10640
289	4338	10622
290	4352	10603
291	4365	10584
292	4379	10566
293	4392	10548
294	4406	10529
295	4419	10511
296	4432	10492
297	4445	10473
298	4462	10461
299	4477	10446
300	4489	10426
301	4504	10410
302	4519	10396
303	4534	10381
304	4548	10365
305	4563	10350
306	4578	10335
307	4593	10320
308	4608	10305
309	4623	10291
310	4638	10277
311	4653	10261
312	4668	10247
313	4684	10233
314	4699	10219
315	4713	10202
316	4728	10187
317	4743	10172
318	4757	10155
319	4771	10138
320	4785	10123
321	4799	10106
322	4813	10089
323	4827	10073
324	4843	10059
325	4858	10044
326	4873	10030
327	4891	10021
328	4909	10012
329	4925	9999
330	4943	9992
331	4959	9979
332	4974	9964
333	4989	9948
334	5004	9934
335	5020	9921
336	5038	9912
337	5053	9898
338	5069	9884
339	5091	9882
340	5110	9875
341	5130	9871
342	5152	9869
343	5174	9866
344	5194	9861
345	5212	9852
346	5228	9839
347	5243	9824
348	5257	9807
349	5272	9791
350	5293	9786
351	5310	9776
352	5326	9762
353	5341	9747
354	5357	9733
355	5371	9717
356	5386	9701
357	5400	9684
358	5416	9670
359	5431	9656
360	5448	9643
361	5463	9628
362	5478	9613
363	5494	9599
364	5511	9588
365	5526	9573
366	5542	9559
367	5556	9542
